BUILDING,VALUE,BUSINESS,CHECKIN,LOCATION,FOOD,CLEANLINESS,ROOMS,SERVICE,NOTRELATED,OTHER,SEGMENTS
0,0,0,0,0,0,0,0,0,0,1,LOVED THE HAMPTON INN SEAPORT!!!!!!!!!!!!!!!!!!
0,0,0,0,0,0,0,0,0,1,0,Just returned from a 3 night stay.
0,0,0,0,0,0,0,0,0,0,1,This is a FABULOUS hotel.
0,0,0,0,0,0,0,0,1,0,0,"The front desk staff, the doormen, the breakfast staff, EVERYONE is incredibly friendly and helpful and warm and welcoming."
0,0,0,0,0,0,0,1,0,0,0,The room was fabulous too.
0,0,0,0,0,0,1,1,0,0,0,"Really comfy beds, great decorating, and super super clean."
0,0,0,0,0,1,0,0,0,0,0,"The breakfasts are great - fresh fruit, bagels, muffins, hot eggs and sausage, etc."
0,0,0,0,0,1,0,0,0,0,0,Good coffee.
0,0,0,0,1,0,0,0,0,0,0,Just around the corner from the hotel is a FABULOUS little Italian restaurant - Bon Amici.
0,0,0,0,0,0,0,0,0,0,1,Highly recommend it.
0,0,0,0,0,0,0,0,0,0,1,I will stay at this hotel everytime I come to New York.
0,0,0,0,0,0,0,0,0,0,1,Can't say enough great things about it!!!!!
0,0,0,0,0,0,0,0,0,0,1,We Will Stay Here Again
0,0,0,0,0,0,0,0,0,1,0,"This is the second time that we are staying at Lanson Place, Hong Kong."
0,0,0,0,1,0,0,0,0,0,0,"We loved its location in Causeway Bay-a stone's throw from the Causeway Bay MTR, great food outlets at Jardine's Bazaar, good shopping at Times Square."
0,0,0,0,0,0,0,1,0,0,0,The room is big for HK standards and there is a small kitchenette if you need to heat up food in the microwave or cook a meal.
0,0,0,0,0,0,0,1,0,0,0,"This time, our room was in an L-shaped configuration."
0,0,0,0,0,0,0,1,0,0,0,The bedroom was a little tight but the living and study space was slightly bigger.
0,0,0,0,0,0,0,1,0,0,0,The furnishings and fittings are still in good condition.
0,0,0,1,0,0,0,0,0,0,0,"When we checked in for our stay, we were a little annoyed that we had to wait for our room to be ready even though it was 21/2 hours past the check-in time."
0,0,0,0,0,0,1,0,0,0,0,I was a little taken aback too when one of the bath towels that I wanted to use had 5 holes on it.
0,1,0,0,0,0,0,0,0,0,0,"Nevertheless, the housekeeping team was prompt with providing us with good quality towels when we requested for it.We will stay here again when we next visit HK."
0,1,0,0,0,0,0,0,0,0,0,Good Value Hotel
0,1,0,0,0,0,0,0,0,0,0,I stayed for two nights: with fees paid $62.00 on Hotwire per night.
1,0,0,1,0,0,0,0,0,0,0,Very nice reception.
0,0,0,0,0,0,0,1,0,0,0,Room was large and well laid out.
0,0,0,0,0,1,0,0,0,0,0,Big breakfast included.
0,0,0,0,1,0,0,0,0,0,0,Location is excellent.
0,0,0,0,1,0,0,0,0,0,0,"I lived very nearby in Miami Springs for sixteen years, so while the neighborhood doesn't look like much I know it is just airport industrial, and safe."
0,0,0,0,1,0,0,0,0,0,0,On the same street two or three miles past nice office parks to the west are all sorts of great restaurants.
0,0,0,0,0,0,0,0,0,0,1,"Will return, in all likellihood."
0,0,0,0,0,0,0,0,1,0,1,"Nice little hotel, friendly staff"
0,0,0,0,0,0,0,0,0,0,0,My wife and I stayed at the Coral Princess Inn for 3 days during October.
0,0,0,0,0,0,1,1,0,0,0,The room was clean and well maintained.
0,0,0,0,0,0,0,1,0,0,0,One thing we will remember about the room is that AC was freezing!!!
0,0,0,0,0,0,0,1,0,0,0,But that isn't a bad thing.
0,0,0,0,1,0,0,0,0,0,0,The CPI is in walking distance to all of Condado as well as on the bus route for taking a trip to Old San Juan or to Isle de Verde.
0,1,0,0,0,0,0,0,0,0,0,Great price too!
0,0,0,0,0,0,0,0,0,0,1,Piss Poor Pretty cheap
0,1,0,0,0,0,0,0,0,0,0,"I paid $53 per night for the Monarch, it was worth all of $20."
0,0,0,0,0,0,0,0,0,1,0,"I felt right at home in the neighborhood of the Monarch, then again I live right outside of Newark NJ, which explains why our car was keyed and our mirror was ripped off."
0,0,0,0,0,0,0,0,0,0,0,"I must give them credit at least they left the mirror on my windshield, so I guess they weren't thieves, just vandals."
0,0,0,0,0,0,0,1,0,0,0,"Upon finding out my shower didn't work, the indifferent staff gave me a new room after only 10 min of arguing, which was nice."
0,0,0,0,0,0,0,0,0,0,1,"Overall, if cost is a main concern, and you want stay in a basic room for $50 with decent service, in an acceptable neighborhood, then you apparently don't have enough $$$ to stay in a San Francisco hotel, try an upgrade to a local hostel, or stay home."
0,0,0,0,0,0,0,0,0,0,1,Overrated We were very excited about our stay - but ended up disappointed.
0,0,0,0,0,0,0,1,0,0,0,"We were in a deluxe room (don't be fooled, these are the basic rooms) which was really small, compared to the fantastic villa we had in Benoa for less then half the price!)"
0,0,0,0,0,0,0,1,0,0,0,"It was nicely done, but not Balinese at all, and we felt a little bit stark."
0,0,0,0,0,0,0,0,1,0,0,We arrived at lunchtime - ordered food and proceeded to wait a LONG time.
0,0,0,0,0,0,0,0,1,0,0,"A couple who ordered food after us were given complimentary drinks because of the wait, but we weren't."
0,0,0,0,0,0,0,0,0,0,0,"Another guest was complaining about another issue at the same time, so it wasn't the best introduction."
1,0,0,0,0,0,0,0,0,0,0,"The setting and pool are gorgous, but as others have said there are nowhere near enough loungers, so people were lying on the floor - not what you expect from a 5 star hotel."
0,0,0,0,0,1,0,0,0,0,0,The restaurant was pretty terrible - the worst nasi goreng I had in 2 weeks by far.
0,0,0,0,0,0,0,0,0,1,1,"The shuttle isn't regular enough, and the town of Ubud is fantastic - loads of lovely restaurants, and quiet away from the main streets - I would really recommend staying in the town."
0,0,0,0,0,1,0,0,0,0,0,"One absolute positive - the breakfast is fantastic - and free room delivery is well worth it!Overall, I think it just doesn't stack up with other 5 star hotels - the comparison to the Oberoi Seminyak is laughable - now that really is worth it!"
0,0,0,0,0,0,0,0,0,0,1,Fantastic hotel - will be going back asap!
0,0,0,0,0,0,0,0,0,1,0,A colleague and myself stayed at 1898 at the beginning of July for a work trip.
0,1,1,0,0,0,0,0,0,0,0,"We both work in the fashion industry and would be bringing clients back to the hotel so we needed somewhere that would impress - and it certainly did.Because the hotel is newish, we managed to get quite a good rate on the room."
0,1,0,0,0,0,0,0,0,0,0,It was around the same price as some of the more traditional hotels on La Ramblas but you got so much more for your money.
1,0,0,0,0,0,0,0,0,0,0,"The hotel is really modern but has an old school charm, for example dark oak walls and marble floored bathroom."
1,0,0,0,0,0,0,0,0,0,0,It adds a cosy feel without losing the sleekness.
0,0,0,0,0,0,0,1,0,0,0,"Oh by the way, bedrooms have a free pillow menu!"
0,0,0,0,0,1,0,0,0,0,0,Breakfast was great and catered for all the health freaks to full on english breakfast and cakes.
0,0,0,0,1,0,0,0,0,0,0,Location could not be better - you're right in the middle of the centre but we were never disturbed by noise since the rooms are sound-proof.I was on a work trip so only managed to check out the rooftop pool once but it was so lovely sitting on the deck with a cocktail.
0,0,0,0,1,0,0,0,0,0,1,The views of the city were great and it was so quiet from where we were - you would forget you were in a busy city.I had a full body massage which was so relaxing that I almost fell asleep at dinner later on!We will be going back next year and so will our clients - everyone loves it!
0,0,0,0,1,0,0,0,0,0,1,loved the royal hotel is in excellent location on
0,0,0,0,1,0,0,0,0,0,0,La rambla ---close to everything to see and transportation.
0,0,0,0,0,1,1,1,0,0,0,"room was attractive, clean, adequate size and very quiet even though faced on La rambla. restaurant was convenient and good for all meals though lots of small restaurants in area provideding easy access for meals."
0,0,0,1,0,0,0,0,0,0,1,Desk staff very helpful and pleasant---would definitely stay there again.
0,0,0,0,0,0,0,0,0,0,1,Bedbuggs !!!
0,0,0,0,0,0,0,0,0,0,0,I decided to stay in
0,0,0,0,0,0,0,1,0,0,0,"A-Train after reading all these good reviews.I stayed in first class room (nothing first class about it; small room, no amenities - shampoo etc available) and after the third night (they had not changed the sheets) I found a little blood in the sheets."
0,0,0,0,0,0,0,1,0,0,0,My alarm bells did not ring then....The fouth morning the bed was covered with bedbuggs and they had eaten me all over.
0,0,0,0,0,0,0,0,1,0,0,"I complained at the Reception and all they did was only noting it down, they did not apology and the matter did not seem to suprise them."
0,0,0,0,0,0,0,0,0,0,1,Luckily that was my last night at the A-Train.
0,0,0,0,0,0,0,1,0,0,0,Besides this the room was on the very busy street side and there were roadworks going on during the night.
0,0,0,0,0,0,0,0,0,0,0,Luckily I managed to purchase earplugs later.
0,0,0,0,0,1,0,0,0,0,0,On the positive side the breakfast and the breakfastroom were very nice and the personnel was nice (untill I complaint about the bugs).
0,0,0,0,0,0,0,0,1,0,1,"Comfortable, friendly hotel"
0,0,0,0,0,0,0,0,0,0,0,My friend and I stayed at the Elan in late February.
0,0,0,0,1,0,0,0,0,0,0,Location was great.
0,0,0,0,1,0,0,0,0,0,0,"There were restaurants,Beverley Centre,laundrette, shops, all very close."
0,0,0,0,1,0,0,0,0,0,0,Public transport was very accessible.
0,0,0,0,0,0,0,0,1,0,0,The staff at the hotel were extremely helpful and courteous.
0,0,0,0,0,0,1,1,0,0,0,The rooms were quite nice and clean.
0,0,0,0,0,0,0,1,0,0,0,Bathrooms were good.
0,0,0,0,0,0,0,0,0,0,1,The free internet was a godsend.
1,0,0,0,0,0,0,0,0,0,0,The breakfast area next to the lobby was excellent with the morning sun beating in.
0,0,0,0,0,1,0,0,0,0,0,"The continental breakfast on offer was ideal with bagels ,cereals ,tea coffee, fresh fruit."
0,0,0,0,0,0,0,0,0,0,1,We had a very pleasant stay and I would highly recommend anyone to stay there.
